INSTNM,CITY,STABBR,ZIP,COSTT4_A
Case Western Reserve University,Cleveland,OH,44106,63216
Cedarville University,Cedarville,OH,45314-0601,37623
Central Ohio Technical College,Newark,OH,43055-1767,13383
Central School of Practical Nursing,Independence,OH,44131-0000,NULL
Central State University,Wilberforce,OH,45384-1004,18994
Chatfield College,Saint Martin,OH,45118-9705,18671
Choffin Career  and Technical Center,Youngstown,OH,44503-1600,20491
The Christ College of Nursing and Health Sciences,Cincinnati,OH,45219-2989,25047
Cincinnati Christian University,Cincinnati,OH,45204-3200,30151
Cincinnati College of Mortuary Science,Cincinnati,OH,45224-1462,NULL
University of Cincinnati-Main Campus,Cincinnati,OH,45221-0063,26829
Cincinnati State Technical and Community College,Cincinnati,OH,45223-2690,8519
University of Cincinnati-Clermont College,Batavia,OH,45103,15551
University of Cincinnati-Blue Ash College,Blue Ash,OH,45236-1096,17281
Ohio Christian University,Circleville,OH,43113-9487,33266
Clark State Community College,Springfield,OH,45501-0570,11098
Scott College of Cosmetology,Wheeling,WV,26003,NULL
Cleveland Institute of Art,Cleveland,OH,44106-1710,55903
Cleveland Institute of Dental-Medical Assistants-Cleveland,Cleveland,OH,44115-2285,NULL
Cleveland Institute of Music,Cleveland,OH,44106-1776,65804
Cleveland State University,Cleveland,OH,44115-2214,21949
Columbiana County Career and Technical Center,Lisbon,OH,44432,NULL
Bradford School,Columbus,OH,43219,22788
Columbus College of Art and Design,Columbus,OH,43215,45581
Columbus State Community College,Columbus,OH,43215,9926
Cuyahoga Community College District,Cleveland,OH,44115-2878,9426
Davis College,Toledo,OH,43623,27954
Dayton Barber College,Miamisburg,OH,45342,NULL
University of Dayton,Dayton,OH,45469,56370
Defiance College,Defiance,OH,43512,44120
Denison University,Granville,OH,43023,63023
Edison State Community College,Piqua,OH,45356-9239,12787
EHOVE Career Center,Milan,OH,44846,NULL
Bryant & Stratton College-Cleveland,Cleveland,OH,44115,23198
The University of Findlay,Findlay,OH,45840-3653,43588
Franklin University,Columbus,OH,43215-5399,30059
Gerbers Akron Beauty School,Akron,OH,44313,NULL
Gods Bible School and College,Cincinnati,OH,45202-6838,15409
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,45220-2489,21808
Great Oaks Career Campuses,Cincinnati,OH,45241,NULL
Hannah E Mullins School of Practical Nursing,Salem,OH,44460-2906,NULL
Adult and Community Education-Hudson,Columbus,OH,43211,NULL
Hebrew Union College-Jewish Institute of Religion,New York,NY,10012-1186,NULL
Heidelberg University,Tiffin,OH,44883-2462,41566
Hiram College,Hiram,OH,44234-0067,45784
Hobart Institute of Welding Technology,Troy,OH,45373-2400,NULL
Hocking College,Nelsonville,OH,45764,14006
Ross Medical Education Center-Cincinnati,Cincinnati,OH,45246,NULL
International College of Broadcasting,Dayton,OH,45431,22797
Eastern Gateway Community College,Steubenville,OH,43952-3598,7351
John Carroll University,University Heights,OH,44118-4581,52159
Hondros College of Nursing,Westerville,OH,43081,29722
Casal Aveda Institute,Austintown,OH,44515,NULL
Kent State University at Ashtabula,Ashtabula,OH,44004,12978
Kent State University at East Liverpool,East Liverpool,OH,43920,13107
Kent State University at Stark,Canton,OH,44720-7599,12331
Kent State University at Trumbull,Warren,OH,44483,13275
Kent State University at Tuscarawas,New Philadelphia,OH,44663-9403,12481
Kent State University at Salem,Salem,OH,44460,13075
Kent State University at Kent,Kent,OH,44242-0001,24064
Kent State University at Geauga,Burton,OH,44021,12068
Kenyon College,Gambier,OH,43022,66670
Kettering College,Kettering,OH,45429-1299,24911
Lake Erie College,Painesville,OH,44077-3389,42681
Lakeland Community College,Kirtland,OH,44094-5198,11789
O C Collins Career Center,Chesapeake,OH,45619-0000,NULL
James A Rhodes State College,Lima,OH,45804,11598
Ohio Business College-Sheffield,Sheffield Village,OH,44035-0701,23772
Ohio Business College-Sandusky,Sandusky,OH,44870-5871,21269
Lorain County Community College,Elyria,OH,44035-1691,7820
Lourdes University,Sylvania,OH,43560-2898,31989
Malone University,Canton,OH,44709-3308,41877
Marietta College,Marietta,OH,45750,48057
Marion Technical College,Marion,OH,43302-5694,10475
Medina County Career Center,Medina,OH,44256,NULL
Mercy College of Ohio,Toledo,OH,43604-1132,22167
Methodist Theological School in Ohio,Delaware,OH,43015-3211,NULL
Miami University-Hamilton,Hamilton,OH,45011,13463
Miami University-Middletown,Middletown,OH,45042,15398
Miami University-Oxford,Oxford,OH,45056,30420
Miami-Jacobs Career College-Dayton,Dayton,OH,45402,NULL
Moler Hollywood Beauty Academy,Cincinnati,OH,45213,NULL
Miami Valley Career Technology Center,Englewood,OH,45315,NULL
Mount Carmel College of Nursing,Columbus,OH,43222-1504,21029
University of Mount Union,Alliance,OH,44601-3993,40962
Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,38356
Mount Saint Joseph University,Cincinnati,OH,45233-1670,35891
Zane State College,Zanesville,OH,43701-2626,12197
Muskingum University,New Concord,OH,43762,39502
National Beauty College,Canton,OH,44709-1837,NULL
North Central State College,Mansfield,OH,44901-0698,8080
Northern Institute of Cosmetology,Lorain,OH,44052-1803,NULL
Northwest State Community College,Archbold,OH,43502-9542,12748
Toledo Public Schools Adult and Continuing Education,Toledo,OH,43613,NULL
Notre Dame College,Cleveland,OH,44121-4293,41206
Northeast Ohio Medical University,Rootstown,OH,44272-0095,NULL
University of Northwestern Ohio,Lima,OH,45805,22450
Oberlin College,Oberlin,OH,44074,68670
Ohio Technical College,Cleveland,OH,44103,NULL
Ohio Dominican University,Columbus,OH,43219,40458
Brightwood College-Dayton,Dayton,OH,45439,NULL
Ohio Northern University,Ada,OH,45810-1599,44728
Ohio State University Agricultural Technical Institute,Wooster,OH,44691-4000,21770
Ohio State University-Lima Campus,Lima,OH,45804,17500
Ohio State University-Mansfield Campus,Mansfield,OH,44906,20960
Ohio State University-Marion Campus,Marion,OH,43302-5695,17627
Ohio State University-Newark Campus,Newark,OH,43055,19342
Ohio State Beauty Academy,Lima,OH,45807,NULL
Ohio State College of Barber Styling,Columbus,OH,43213,NULL
The Spa School,Columbus,OH,43214,NULL
Ohio State School of Cosmetology-Canal Winchester,CANAL WINCHESTER,OH,43110,NULL
Ohio State University-Main Campus,Columbus,OH,43210,25498
Ohio University-Eastern Campus,Saint Clairsville,OH,43950,10517
Ohio University-Chillicothe Campus,Chillicothe,OH,45601-0629,11427
Ohio University-Southern Campus,Ironton,OH,45638,11302
Ohio University-Lancaster Campus,Lancaster,OH,43130-1037,11046
Ohio University-Main Campus,Athens,OH,45701-2979,26233
Ohio University-Zanesville Campus,Zanesville,OH,43701,11074
Ohio Valley College of Technology,East Liverpool,OH,43920-9585,18489
Trinity Health System School of Nursing,Steubenville,OH,43952-3512,13078
Ohio Wesleyan University,Delaware,OH,43015-2370,58879
Otterbein University,Westerville,OH,43081,44574
Owens Community College,Perrysburg,OH,43551,10896
Paramount Beauty Academy,Portsmouth,OH,45662-4527,NULL
Cuyahoga Valley Career Center,Brecksville,OH,44141-1296,NULL
Payne Theological Seminary,Wilberforce,OH,45384,NULL
Pontifical College Josephinum,Columbus,OH,43235-1499,39742
Professional Skills Institute,Maumee,OH,43537,34874
Firelands Regional Medical Center School of Nursing,Sandusky,OH,44870-4788,NULL
Rabbinical College Telshe,Wickliffe,OH,44092,17600
Raphael's School of Beauty Culture Inc-Niles,Niles,OH,44446,NULL
Fortis College-Centerville,Centerville,OH,45459-2712,32783
University of Rio Grande,Rio Grande,OH,45674,36012
Advertising Art Educational Services DBA School of Advertising Art,Kettering,OH,45440,34425
Shawnee State University,Portsmouth,OH,45662,19368
Sinclair Community College,Dayton,OH,45402-1460,7773
Hussian College-Daymar College Columbus,Columbus,OH,43232,26643
Stark State College,North Canton,OH,44720,10445
Stautzenberger College-Maumee,Maumee,OH,43537-4007,20610
Franciscan University of Steubenville,Steubenville,OH,43952-1763,36378
Southern State Community College,Hillsboro,OH,45133-9406,10402
Terra State Community College,Fremont,OH,43420-9670,14618
Tiffin Academy of Hair Design,Tiffin,OH,44883,NULL
Tiffin University,Tiffin,OH,44883,36023
University of Toledo,Toledo,OH,43606-3390,22208
Tri-State Bible College,South Point,OH,45680,NULL
Tri-County Adult Career Center,Nelsonville,OH,45764,NULL
Tri-Rivers Career Center,Marion,OH,43302-8914,NULL
Trinity Lutheran Seminary,Columbus,OH,43209-2334,NULL
Union Institute & University,Cincinnati,OH,45206-1925,24696
United Theological Seminary,Dayton,OH,45426-2308,NULL
Upper Valley Career Center,Piqua,OH,45356,NULL
Urbana University,Urbana,OH,43078-2091,36510
Ursuline College,Pepper Pike,OH,44124,40459
The North Coast College,Lakewood,OH,44107,28862
Walsh University,North Canton,OH,44720-3396,40351
Washington State Community College,Marietta,OH,45750,11816
Wilberforce University,Wilberforce,OH,45384-1001,23100
Wilmington College,Wilmington,OH,45177,36966
Winebrenner Theological Seminary,Findlay,OH,45840,NULL
Wittenberg University,Springfield,OH,45504,50473
The College of Wooster,Wooster,OH,44691,59800
Wright State University-Main Campus,Dayton,OH,45435-0001,21261
Wright State University-Lake Campus,Celina,OH,45822-2952,13025
Xavier University,Cincinnati,OH,45207-1092,50880
Youngstown State University,Youngstown,OH,44555-0001,17278
American Broadcasting School-Oklahoma City,Oklahoma City,OK,73115,NULL
Bacone College,Muskogee,OK,74403-1597,35200
Oklahoma Wesleyan University,Bartlesville,OK,74006-6299,37451
Southern Nazarene University,Bethany,OK,73008,35169
Broken Arrow Beauty College-Broken Arrow,Broken Arrow,OK,74012,NULL
Pontotoc Technology Center,Ada,OK,74820,NULL
Cameron University,Lawton,OK,73505-6377,14937
Carl Albert State College,Poteau,OK,74953-5208,10989
Central Oklahoma College,Oklahoma City,OK,73134,NULL
University of Central Oklahoma,Edmond,OK,73034,22669
Claremore Beauty College,Claremore,OK,74017,NULL
Connors State College,Warner,OK,74469,14516
East Central University,Ada,OK,74820-6999,15324
Eastern Oklahoma State College,Wilburton,OK,74578-4999,10482
Redlands Community College,El Reno,OK,73036-5304,13654
Enid Beauty College,Enid,OK,73703-4538,NULL
Eves College of Hairstyling,Lawton,OK,73501,NULL
Randall University,Moore,OK,73160,23988
Langston University,Langston,OK,73050,20184
Murray State College,Tishomingo,OK,73460,16900
Spartan College of Aeronautics and Technology,Tulsa,OK,74115,27642
Northeastern State University,Tahlequah,OK,74464-2399,16337
Beauty Technical College Inc,Tahlequah,OK,74465,NULL
Northern Oklahoma College,Tonkawa,OK,74653,11661
Northeastern Oklahoma A&M College,Miami,OK,74354,14856
Northwestern Oklahoma State University,Alva,OK,73717-2799,15057
Oklahoma State University Center for Health Sciences,Tulsa,OK,74107-1898,NULL
Oklahoma Christian University,Edmond,OK,73013,32471
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,73117-1221,NULL
Oklahoma Panhandle State University,Goodwell,OK,73939-0430,17335
Oklahoma State University-Main Campus,Stillwater,OK,74078-1015,22868
Oklahoma State University-Oklahoma City,Oklahoma City,OK,73107-6195,12178
Oklahoma Baptist University,Shawnee,OK,74804,37623
Oklahoma City Community College,Oklahoma City,OK,73159-9987,12765
Oklahoma City University,Oklahoma City,OK,73106-1402,45913
University of Oklahoma-Norman Campus,Norman,OK,73019-3072,27205
Oklahoma State University Institute of Technology,Okmulgee,OK,74447-3901,14169
Oral Roberts University,Tulsa,OK,74171,39032
Platt College-OKC-Ann Arbor,Oklahoma City,OK,73128-1112,NULL
Rogers State University,Claremore,OK,74017-3252,18916
Rose State College,Midwest City,OK,73110-2799,14592
Jenks Beauty College,Jenks,OK,74037,NULL
University of Science and Arts of Oklahoma,Chickasha,OK,73018-5322,17184
Seminole State College,Seminole,OK,74868-1901,16822
Southern School of Beauty Inc,Durant,OK,74701-5008,NULL
Southeastern Oklahoma State University,Durant,OK,74701-3347,15351
Southwestern Christian University,Bethany,OK,73008,21047
Southwestern Oklahoma State University,Weatherford,OK,73096-3001,18868
Tulsa Community College,Tulsa,OK,74135-6198,12287
Tulsa Welding School-Tulsa,Tulsa,OK,74104,NULL
University of Tulsa,Tulsa,OK,74104-3189,56173
Virgil's Beauty College,Muskogee,OK,74401-6802,NULL
Indian Capital Technology Center-Tahlequah,Tahlequah,OK,74464,NULL
Western Oklahoma State College,Altus,OK,73521-1397,12230
Woodward Beauty College,Woodward,OK,73801,NULL
High Plains Technology Center,Woodward,OK,73801,NULL
Abdill Career College Inc,Medford,OR,97504-7137,NULL
Paul Mitchell the School-Portland,Portland,OR,97205,NULL
The Art Institute of Portland,Portland,OR,97209-2911,27341
Beau Monde College of Hair Design,Portland,OR,97232,NULL
Blue Mountain Community College,Pendleton,OR,97801,15557
Central Oregon Community College,Bend,OR,97703,15434
Chemeketa Community College,Salem,OR,97305,9841
Clackamas Community College,Oregon City,OR,97045-8980,8912
Clatsop Community College,Astoria,OR,97103,14788
College of Hair Design Careers,Salem,OR,97301-1952,NULL
Concorde Career College-Portland,Portland,OR,97232-4203,NULL
Concordia University-Portland,Portland,OR,97211-6099,39880
Sumner College,Portland,OR,97224,NULL
East West College of the Healing Arts,Portland,OR,97232-0000,NULL
Eastern Oregon University,La Grande,OR,97850,20491
Phagans School of Hair Design-Portland,Portland,OR,97232,NULL
New Hope Christian College-Eugene,Eugene,OR,97405,23980
George Fox University,Newberg,OR,97132,46653
Phagans Grants Pass College of Beauty,Grants Pass,OR,97526,NULL
Lane Community College,Eugene,OR,97405-0640,11331
Lewis & Clark College,Portland,OR,97219-7899,61382
Linfield College-McMinnville Campus,McMinnville,OR,97128-6894,54479
Linn-Benton Community College,Albany,OR,97321,13067
Northwest College-Beaverton,Beaverton,OR,97005,NULL
Marylhurst University,Marylhurst,OR,97036-0261,NULL
Phagans Medford Beauty School,Medford,OR,97504,NULL
Northwest College-Clackamas,Happy Valley,OR,97086,NULL
Mount Angel Seminary,Saint Benedict,OR,97373-0505,NULL
Mt Hood Community College,Gresham,OR,97030,11598
Multnomah University,Portland,OR,97220,36905
National University of Natural Medicine,Portland,OR,97201-4848,NULL
Northwest Christian University,Eugene,OR,97401-3745,38108
Oregon Health & Science University,Portland,OR,97239-3098,NULL
Oregon Institute of Technology,Klamath Falls,OR,97601-8801,22466
Oregon College of Art and Craft,Portland,OR,97225,45030
Oregon State University,Corvallis,OR,97331,26121
University of Oregon,Eugene,OR,97403,24570
Pacific Northwest College of Art,Portland,OR,97209-3404,49411
Pacific University,Forest Grove,OR,97116,55606
Phagans Beauty College,Corvallis,OR,97333,NULL
Phagans Central Oregon Beauty College,Bend,OR,97701,NULL
Phagans School of Beauty,Salem,OR,97301,NULL
Phagans School of Hair Design,Happy Valley,OR,97086,NULL
Summit Salon Academy-Portland,Tigard,OR,97223,NULL
Portland Community College,Portland,OR,97219-7132,14507
Portland State University,Portland,OR,97201,19170
University of Portland,Portland,OR,97203-5798,58634
Reed College,Portland,OR,97202-8199,67235
Rogue Community College,Grants Pass,OR,97527-9291,12906
Roseburg Beauty College,Roseburg,OR,97470,NULL
Pioneer Pacific College,Wilsonville,OR,97070-9296,25803
Southern Oregon University,Ashland,OR,97520,15364
Southwestern Oregon Community College,Coos Bay,OR,97420-2193,15052
Treasure Valley Community College,Ontario,OR,97914,16509
Umpqua Community College,Roseburg,OR,97470-0226,14285
Warner Pacific University,Portland,OR,97215,35606
Corban University,Salem,OR,97317-9392,43165
College of Cosmetology,Klamath Falls,OR,97601-3233,NULL
Western Seminary,Portland,OR,97215-3367,NULL
Willamette University,Salem,OR,97301,60503
Western Oregon University,Monmouth,OR,97361-1394,22675
University of Western States,Portland,OR,97230-3099,NULL
Jolie Hair and Beauty Academy-Hazleton,Hazleton,PA,18201,NULL
